team1,team1score,team2,team2score,group,date,city,winner,match_number,powerplay_score_teama,powerplay_score_teamb,toss_winner,toss_decision
Royal Challengers Bangalore,173,Pune Warriors,138,Indian Premier League57,2012-05-11,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,57.0,66,50,Pune Warriors,field
Mumbai Indians,182,Kolkata Knight Riders,155,Indian Premier League58,2012-05-12,"Eden Gardens, Kolkata",Mumbai Indians,58.0,49,32,Mumbai Indians,bat
Delhi Daredevils,114,Chennai Super Kings,115,Indian Premier League59,2012-05-12,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,59.0,27,45,Chennai Super Kings,field
Rajasthan Royals,170,Pune Warriors,125,Indian Premier League60,2012-05-13,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,60.0,45,33,Rajasthan Royals,bat
Deccan Chargers,190,Kings XI Punjab,194,Indian Premier League61,2012-05-13,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,61.0,47,44,Deccan Chargers,bat
Royal Challengers Bangalore,171,Mumbai Indians,173,Indian Premier League62,2012-05-14,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,62.0,40,32,Mumbai Indians,field
Kolkata Knight Riders,158,Chennai Super Kings,160,Indian Premier League63,2012-05-14,"Eden Gardens, Kolkata",Chennai Super Kings,63.0,50,51,Chennai Super Kings,field
Kings XI Punjab,136,Delhi Daredevils,140,Indian Premier League64,2012-05-15,Feroz Shah Kotla,Delhi Daredevils,64.0,47,37,Kings XI Punjab,bat
Kolkata Knight Riders,140,Mumbai Indians,108,Indian Premier League65,2012-05-16,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,65.0,32,26,Mumbai Indians,field
Chennai Super Kings,120,Kings XI Punjab,123,Indian Premier League66,2012-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,66.0,25,43,Kings XI Punjab,field
Royal Challengers Bangalore,215,Delhi Daredevils,194,Indian Premier League67,2012-05-17,Feroz Shah Kotla,Royal Challengers Bangalore,67.0,42,51,Delhi Daredevils,field
Rajasthan Royals,126,Deccan Chargers,128,Indian Premier League68,2012-05-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,68.0,41,58,Rajasthan Royals,bat
Kings XI Punjab,141,Delhi Daredevils,145,Indian Premier League69,2012-05-19,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Daredevils,69.0,20,44,Delhi Daredevils,field
Kolkata Knight Riders,136,Pune Warriors,102,Indian Premier League70,2012-05-19,Subrata Roy Sahara Stadium,Kolkata Knight Riders,70.0,27,40,Kolkata Knight Riders,bat
Deccan Chargers,132,Royal Challengers Bangalore,123,Indian Premier League71,2012-05-20,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,71.0,23,40,Royal Challengers Bangalore,field
Rajasthan Royals,162,Mumbai Indians,163,Indian Premier League72,2012-05-20,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,72.0,31,44,Rajasthan Royals,bat
Kolkata Knight Riders,162,Delhi Daredevils,144,Qualifier 1,2012-05-22,Subrata Roy Sahara Stadium,Kolkata Knight Riders,,48,49,Kolkata Knight Riders,bat
Chennai Super Kings,187,Mumbai Indians,149,Elimination Final,2012-05-23,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,,30,54,Mumbai Indians,field
Chennai Super Kings,222,Delhi Daredevils,136,Qualifier 2,2012-05-25,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,,52,46,Delhi Daredevils,field
Chennai Super Kings,190,Kolkata Knight Riders,192,Final,2012-05-27,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,,54,56,Chennai Super Kings,bat
Delhi Daredevils,128,Kolkata Knight Riders,129,Indian Premier League1,2013-04-03,"Eden Gardens, Kolkata",Kolkata Knight Riders,1.0,45,46,Kolkata Knight Riders,field
Royal Challengers Bangalore,156,Mumbai Indians,154,Indian Premier League2,2013-04-04,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,2.0,31,38,Mumbai Indians,field
Sunrisers Hyderabad,126,Pune Warriors,104,Indian Premier League3,2013-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,3.0,38,27,Pune Warriors,field
Rajasthan Royals,165,Delhi Daredevils,160,Indian Premier League4,2013-04-06,Feroz Shah Kotla,Rajasthan Royals,4.0,45,39,Rajasthan Royals,bat
Mumbai Indians,148,Chennai Super Kings,139,Indian Premier League5,2013-04-06,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,5.0,41,36,Mumbai Indians,bat
Pune Warriors,99,Kings XI Punjab,100,Indian Premier League6,2013-04-07,Subrata Roy Sahara Stadium,Kings XI Punjab,6.0,24,56,Pune Warriors,bat
Royal Challengers Bangalore,130,Sunrisers Hyderabad,130,Indian Premier League7,2013-04-07,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,7.0,40,37,Royal Challengers Bangalore,bat
Rajasthan Royals,144,Kolkata Knight Riders,125,Indian Premier League8,2013-04-08,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,8.0,35,40,Kolkata Knight Riders,field
Mumbai Indians,209,Delhi Daredevils,165,Indian Premier League10,2013-04-09,"Wankhede Stadium, Mumbai",Mumbai Indians,10.0,38,46,Mumbai Indians,bat
Sunrisers Hyderabad,161,Royal Challengers Bangalore,162,Indian Premier League9,2013-04-09,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,9.0,40,47,Sunrisers Hyderabad,bat
Kings XI Punjab,138,Chennai Super Kings,139,Indian Premier League11,2013-04-10,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,11.0,43,38,Chennai Super Kings,field
Kolkata Knight Riders,154,Royal Challengers Bangalore,158,Indian Premier League12,2013-04-11,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,12.0,44,43,Royal Challengers Bangalore,field
Rajasthan Royals,145,Pune Warriors,148,Indian Premier League13,2013-04-11,Subrata Roy Sahara Stadium,Pune Warriors,13.0,44,64,Rajasthan Royals,bat
Delhi Daredevils,114,Sunrisers Hyderabad,115,Indian Premier League14,2013-04-12,Feroz Shah Kotla,Sunrisers Hyderabad,14.0,29,38,Delhi Daredevils,bat
Mumbai Indians,183,Pune Warriors,142,Indian Premier League15,2013-04-13,"Wankhede Stadium, Mumbai",Mumbai Indians,15.0,48,40,Mumbai Indians,bat
Royal Challengers Bangalore,165,Chennai Super Kings,166,Indian Premier League16,2013-04-13,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,16.0,33,31,Chennai Super Kings,field
Kolkata Knight Riders,180,Sunrisers Hyderabad,132,Indian Premier League17,2013-04-14,"Eden Gardens, Kolkata",Kolkata Knight Riders,17.0,48,39,Kolkata Knight Riders,bat
Kings XI Punjab,124,Rajasthan Royals,126,Indian Premier League18,2013-04-14,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,18.0,34,48,Rajasthan Royals,field
Pune Warriors,159,Chennai Super Kings,135,Indian Premier League19,2013-04-15,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,19.0,48,38,Pune Warriors,bat
Kings XI Punjab,157,Kolkata Knight Riders,153,Indian Premier League20,2013-04-16,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,20.0,35,45,Kolkata Knight Riders,field
Delhi Daredevils,152,Royal Challengers Bangalore,152,Indian Premier League21,2013-04-16,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,21.0,43,48,Royal Challengers Bangalore,field
Sunrisers Hyderabad,119,Pune Warriors,108,Indian Premier League22,2013-04-17,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,22.0,25,41,Pune Warriors,field
Rajasthan Royals,179,Mumbai Indians,92,Indian Premier League23,2013-04-17,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,23.0,58,26,Rajasthan Royals,bat
Chennai Super Kings,169,Delhi Daredevils,83,Indian Premier League24,2013-04-18,Feroz Shah Kotla,Chennai Super Kings,24.0,39,32,Chennai Super Kings,bat
Kings XI Punjab,123,Sunrisers Hyderabad,127,Indian Premier League25,2013-04-19,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,25.0,36,33,Kings XI Punjab,bat
Kolkata Knight Riders,119,Chennai Super Kings,124,Indian Premier League26,2013-04-20,"Eden Gardens, Kolkata",Chennai Super Kings,26.0,47,27,Kolkata Knight Riders,bat
Rajasthan Royals,117,Royal Challengers Bangalore,123,Indian Premier League27,2013-04-20,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,27.0,31,48,Royal Challengers Bangalore,field
Mumbai Indians,161,Delhi Daredevils,165,Indian Premier League28,2013-04-21,Feroz Shah Kotla,Delhi Daredevils,28.0,24,60,Mumbai Indians,bat
Pune Warriors,185,Kings XI Punjab,186,Indian Premier League29,2013-04-21,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,29.0,48,55,Kings XI Punjab,field
Rajasthan Royals,185,Chennai Super Kings,186,Indian Premier League30,2013-04-22,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,30.0,55,58,Rajasthan Royals,bat
Royal Challengers Bangalore,263,Pune Warriors,133,Indian Premier League31,2013-04-23,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,31.0,62,43,Pune Warriors,field
Delhi Daredevils,120,Kings XI Punjab,121,Indian Premier League32,2013-04-23,Feroz Shah Kotla,Kings XI Punjab,32.0,40,56,Kings XI Punjab,field
Kolkata Knight Riders,159,Mumbai Indians,162,Indian Premier League33,2013-04-24,"Eden Gardens, Kolkata",Mumbai Indians,33.0,61,42,Kolkata Knight Riders,bat
Sunrisers Hyderabad,159,Chennai Super Kings,160,Indian Premier League34,2013-04-25,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,34.0,40,58,Sunrisers Hyderabad,bat
Kings XI Punjab,149,Kolkata Knight Riders,150,Indian Premier League35,2013-04-26,"Eden Gardens, Kolkata",Kolkata Knight Riders,35.0,45,45,Kings XI Punjab,bat
Sunrisers Hyderabad,144,Rajasthan Royals,146,Indian Premier League36,2013-04-27,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,36.0,29,30,Sunrisers Hyderabad,bat
Mumbai Indians,194,Royal Challengers Bangalore,136,Indian Premier League37,2013-04-27,"Wankhede Stadium, Mumbai",Mumbai Indians,37.0,52,35,Mumbai Indians,bat
Chennai Super Kings,200,Kolkata Knight Riders,186,Indian Premier League38,2013-04-28,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,38.0,67,63,Kolkata Knight Riders,field
Delhi Daredevils,164,Pune Warriors,149,Indian Premier League39,2013-04-28,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils,39.0,37,43,Pune Warriors,field
Royal Challengers Bangalore,171,Rajasthan Royals,173,Indian Premier League40,2013-04-29,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,40.0,55,45,Rajasthan Royals,field
Mumbai Indians,174,Kings XI Punjab,170,Indian Premier League41,2013-04-29,"Wankhede Stadium, Mumbai",Mumbai Indians,41.0,36,55,Mumbai Indians,bat
Chennai Super Kings,164,Pune Warriors,127,Indian Premier League42,2013-04-30,Subrata Roy Sahara Stadium,Chennai Super Kings,42.0,29,46,Chennai Super Kings,bat
Mumbai Indians,129,Sunrisers Hyderabad,130,Indian Premier League43,2013-05-01,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,43.0,41,36,Mumbai Indians,bat
Kolkata Knight Riders,136,Delhi Daredevils,137,Indian Premier League44,2013-05-01,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils,44.0,37,34,Kolkata Knight Riders,bat
Chennai Super Kings,186,Kings XI Punjab,171,Indian Premier League45,2013-05-02,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,45.0,36,36,Chennai Super Kings,bat
Royal Challengers Bangalore,187,Pune Warriors,170,Indian Premier League46,2013-05-02,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,46.0,30,39,Royal Challengers Bangalore,bat
Rajasthan Royals,132,Kolkata Knight Riders,133,Indian Premier League47,2013-05-03,"Eden Gardens, Kolkata",Kolkata Knight Riders,47.0,34,48,Rajasthan Royals,bat
Delhi Daredevils,80,Sunrisers Hyderabad,81,Indian Premier League48,2013-05-04,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,48.0,26,41,Delhi Daredevils,bat
Mumbai Indians,139,Chennai Super Kings,79,Indian Premier League49,2013-05-05,"Wankhede Stadium, Mumbai",Mumbai Indians,49.0,32,32,Mumbai Indians,bat
Pune Warriors,178,Rajasthan Royals,182,Indian Premier League50,2013-05-05,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,50.0,61,53,Pune Warriors,bat
Royal Challengers Bangalore,190,Kings XI Punjab,194,Indian Premier League51,2013-05-06,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,51.0,58,41,Kings XI Punjab,field
Delhi Daredevils,154,Rajasthan Royals,155,Indian Premier League52,2013-05-07,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,52.0,42,49,Delhi Daredevils,bat
Mumbai Indians,170,Kolkata Knight Riders,105,Indian Premier League53,2013-05-07,"Wankhede Stadium, Mumbai",Mumbai Indians,53.0,41,38,Mumbai Indians,bat
Chennai Super Kings,223,Sunrisers Hyderabad,146,Indian Premier League54,2013-05-08,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Chennai Super Kings,54.0,50,49,Sunrisers Hyderabad,field
Kings XI Punjab,145,Rajasthan Royals,147,Indian Premier League55,2013-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Rajasthan Royals,55.0,37,38,Rajasthan Royals,field
Kolkata Knight Riders,152,Pune Warriors,106,Indian Premier League56,2013-05-09,Subrata Roy Sahara Stadium,Kolkata Knight Riders,56.0,50,34,Kolkata Knight Riders,bat
Royal Challengers Bangalore,183,Delhi Daredevils,179,Indian Premier League57,2013-05-10,Feroz Shah Kotla,Royal Challengers Bangalore,57.0,40,49,Delhi Daredevils,field
Pune Warriors,112,Mumbai Indians,116,Indian Premier League58,2013-05-11,Subrata Roy Sahara Stadium,Mumbai Indians,58.0,36,37,Pune Warriors,bat
Sunrisers Hyderabad,150,Kings XI Punjab,120,Indian Premier League59,2013-05-11,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Sunrisers Hyderabad,59.0,37,41,Kings XI Punjab,field
Royal Challengers Bangalore,115,Kolkata Knight Riders,116,Indian Premier League60,2013-05-12,JSCA International Stadium Complex,Kolkata Knight Riders,60.0,22,31,Kolkata Knight Riders,field
Chennai Super Kings,141,Rajasthan Royals,144,Indian Premier League61,2013-05-12,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,61.0,37,24,Rajasthan Royals,field
Sunrisers Hyderabad,178,Mumbai Indians,184,Indian Premier League62,2013-05-13,"Wankhede Stadium, Mumbai",Mumbai Indians,62.0,52,39,Sunrisers Hyderabad,bat
Royal Challengers Bangalore,174,Kings XI Punjab,176,Indian Premier League63,2013-05-14,"M Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,63.0,31,46,Kings XI Punjab,field
Chennai Super Kings,168,Delhi Daredevils,135,Indian Premier League64,2013-05-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,64.0,47,49,Chennai Super Kings,bat
Pune Warriors,170,Kolkata Knight Riders,163,Indian Premier League65,2013-05-15,JSCA International Stadium Complex,Pune Warriors,65.0,42,33,Kolkata Knight Riders,field
Mumbai Indians,166,Rajasthan Royals,152,Indian Premier League66,2013-05-15,"Wankhede Stadium, Mumbai",Mumbai Indians,66.0,49,29,Rajasthan Royals,field
Kings XI Punjab,171,Delhi Daredevils,164,Indian Premier League67,2013-05-16,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,67.0,53,21,Delhi Daredevils,field
Sunrisers Hyderabad,136,Rajasthan Royals,113,Indian Premier League68,2013-05-17,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,68.0,21,33,Sunrisers Hyderabad,bat
Kings XI Punjab,183,Mumbai Indians,133,Indian Premier League69,2013-05-18,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,69.0,35,51,Mumbai Indians,field
Royal Challengers Bangalore,106,Chennai Super Kings,82,Indian Premier League70,2013-05-18,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,70.0,76,56,Chennai Super Kings,field
Pune Warriors,172,Delhi Daredevils,134,Indian Premier League71,2013-05-19,Subrata Roy Sahara Stadium,Pune Warriors,71.0,40,47,Pune Warriors,bat
Kolkata Knight Riders,130,Sunrisers Hyderabad,132,Indian Premier League72,2013-05-19,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,72.0,33,45,Kolkata Knight Riders,bat
Chennai Super Kings,192,Mumbai Indians,144,Qualifier 1,2013-05-21,Feroz Shah Kotla,Chennai Super Kings,,47,56,Chennai Super Kings,bat
Sunrisers Hyderabad,132,Rajasthan Royals,135,Eliminator,2013-05-22,Feroz Shah Kotla,Rajasthan Royals,,27,44,Sunrisers Hyderabad,bat
Rajasthan Royals,165,Mumbai Indians,169,Qualifier 2,2013-05-24,"Eden Gardens, Kolkata",Mumbai Indians,,42,45,Rajasthan Royals,bat
Mumbai Indians,148,Chennai Super Kings,125,Final,2013-05-26,"Eden Gardens, Kolkata",Mumbai Indians,,34,35,Mumbai Indians,bat
Kolkata Knight Riders,163,Mumbai Indians,122,Indian Premier League1,2014-04-16,Sheikh Zayed Stadium,Kolkata Knight Riders,1.0,31,32,Kolkata Knight Riders,bat
Delhi Daredevils,145,Royal Challengers Bangalore,146,Indian Premier League2,2014-04-17,Sharjah Cricket Stadium,Royal Challengers Bangalore,2.0,30,50,Royal Challengers Bangalore,field
Chennai Super Kings,205,Kings XI Punjab,206,Indian Premier League3,2014-04-18,Sheikh Zayed Stadium,Kings XI Punjab,3.0,70,64,Chennai Super Kings,bat
Sunrisers Hyderabad,133,Rajasthan Royals,135,Indian Premier League4,2014-04-18,Sheikh Zayed Stadium,Rajasthan Royals,4.0,41,30,Rajasthan Royals,field
Mumbai Indians,115,Royal Challengers Bangalore,116,Indian Premier League5,2014-04-19,Dubai International Cricket Stadium,Royal Challengers Bangalore,5.0,49,30,Royal Challengers Bangalore,field
Kolkata Knight Riders,166,Delhi Daredevils,167,Indian Premier League6,2014-04-19,Dubai International Cricket Stadium,Delhi Daredevils,6.0,31,49,Kolkata Knight Riders,bat
Rajasthan Royals,191,Kings XI Punjab,193,Indian Premier League7,2014-04-20,Sharjah Cricket Stadium,Kings XI Punjab,7.0,54,39,Kings XI Punjab,field
Chennai Super Kings,177,Delhi Daredevils,84,Indian Premier League8,2014-04-21,Sheikh Zayed Stadium,Chennai Super Kings,8.0,34,24,Chennai Super Kings,bat
Kings XI Punjab,193,Sunrisers Hyderabad,121,Indian Premier League9,2014-04-22,Sharjah Cricket Stadium,Kings XI Punjab,9.0,43,45,Sunrisers Hyderabad,field
Chennai Super Kings,140,Rajasthan Royals,133,Indian Premier League10,2014-04-23,Dubai International Cricket Stadium,Chennai Super Kings,10.0,51,38,Rajasthan Royals,field
Kolkata Knight Riders,150,Royal Challengers Bangalore,148,Indian Premier League11,2014-04-24,Sharjah Cricket Stadium,Kolkata Knight Riders,11.0,42,49,Royal Challengers Bangalore,field
Sunrisers Hyderabad,184,Delhi Daredevils,180,Indian Premier League12,2014-04-25,Dubai International Cricket Stadium,Sunrisers Hyderabad,12.0,55,44,Sunrisers Hyderabad,bat
Mumbai Indians,141,Chennai Super Kings,142,Indian Premier League13,2014-04-25,Dubai International Cricket Stadium,Chennai Super Kings,13.0,31,51,Mumbai Indians,bat
Royal Challengers Bangalore,70,Rajasthan Royals,71,Indian Premier League14,2014-04-26,Sheikh Zayed Stadium,Rajasthan Royals,14.0,22,36,Rajasthan Royals,field
Kings XI Punjab,132,Kolkata Knight Riders,109,Indian Premier League15,2014-04-26,Sheikh Zayed Stadium,Kings XI Punjab,15.0,51,24,Kolkata Knight Riders,field
Mumbai Indians,125,Delhi Daredevils,126,Indian Premier League16,2014-04-27,Sharjah Cricket Stadium,Delhi Daredevils,16.0,37,31,Mumbai Indians,bat
Sunrisers Hyderabad,145,Chennai Super Kings,146,Indian Premier League17,2014-04-27,Sharjah Cricket Stadium,Chennai Super Kings,17.0,37,47,Sunrisers Hyderabad,bat
Royal Challengers Bangalore,124,Kings XI Punjab,127,Indian Premier League18,2014-04-28,Dubai International Cricket Stadium,Kings XI Punjab,18.0,44,33,Kings XI Punjab,field
Rajasthan Royals,152,Kolkata Knight Riders,152,Indian Premier League19,2014-04-29,Sheikh Zayed Stadium,Rajasthan Royals,19.0,45,33,Rajasthan Royals,bat
Sunrisers Hyderabad,172,Mumbai Indians,157,Indian Premier League20,2014-04-30,Dubai International Cricket Stadium,Sunrisers Hyderabad,20.0,44,32,Mumbai Indians,field
Chennai Super Kings,148,Kolkata Knight Riders,114,Indian Premier League21,2014-05-02,JSCA International Stadium Complex,Chennai Super Kings,21.0,43,39,Chennai Super Kings,bat
Kings XI Punjab,168,Mumbai Indians,170,Indian Premier League22,2014-05-03,"Wankhede Stadium, Mumbai",Mumbai Indians,22.0,36,49,Kings XI Punjab,bat
Delhi Daredevils,152,Rajasthan Royals,156,Indian Premier League23,2014-05-03,Feroz Shah Kotla,Rajasthan Royals,23.0,46,38,Rajasthan Royals,field
Sunrisers Hyderabad,155,Royal Challengers Bangalore,158,Indian Premier League24,2014-05-04,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,24.0,47,36,Royal Challengers Bangalore,field
Rajasthan Royals,170,Kolkata Knight Riders,160,Indian Premier League25,2014-05-05,"Sardar Patel Stadium, Motera",Rajasthan Royals,25.0,50,50,Kolkata Knight Riders,field
Delhi Daredevils,178,Chennai Super Kings,181,Indian Premier League26,2014-05-05,Feroz Shah Kotla,Chennai Super Kings,26.0,46,49,Chennai Super Kings,field
Mumbai Indians,187,Royal Challengers Bangalore,168,Indian Premier League27,2014-05-06,"Wankhede Stadium, Mumbai",Mumbai Indians,27.0,50,64,Royal Challengers Bangalore,field
Delhi Daredevils,160,Kolkata Knight Riders,161,Indian Premier League28,2014-05-07,Feroz Shah Kotla,Kolkata Knight Riders,28.0,29,52,Delhi Daredevils,bat
Kings XI Punjab,231,Chennai Super Kings,187,Indian Premier League29,2014-05-07,Barabati Stadium,Kings XI Punjab,29.0,38,46,Chennai Super Kings,field
Sunrisers Hyderabad,134,Rajasthan Royals,102,Indian Premier League30,2014-05-08,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad,30.0,50,37,Rajasthan Royals,field
Kings XI Punjab,198,Royal Challengers Bangalore,166,Indian Premier League31,2014-05-09,"M Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,31.0,64,34,Royal Challengers Bangalore,field
Delhi Daredevils,143,Sunrisers Hyderabad,44,Indian Premier League32,2014-05-10,Feroz Shah Kotla,Sunrisers Hyderabad,32.0,52,44,Sunrisers Hyderabad,field
Mumbai Indians,157,Chennai Super Kings,160,Indian Premier League33,2014-05-10,"Wankhede Stadium, Mumbai",Chennai Super Kings,33.0,42,38,Chennai Super Kings,field
Kings XI Punjab,149,Kolkata Knight Riders,150,Indian Premier League34,2014-05-11,Barabati Stadium,Kolkata Knight Riders,34.0,49,55,Kolkata Knight Riders,field
Royal Challengers Bangalore,190,Rajasthan Royals,191,Indian Premier League35,2014-05-11,"M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,35.0,31,45,Royal Challengers Bangalore,bat
Sunrisers Hyderabad,157,Mumbai Indians,160,Indian Premier League36,2014-05-12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,36.0,43,38,Sunrisers Hyderabad,bat
Rajasthan Royals,148,Chennai Super Kings,149,Indian Premier League37,2014-05-13,JSCA International Stadium Complex,Chennai Super Kings,37.0,42,48,Rajasthan Royals,bat
Royal Challengers Bangalore,186,Delhi Daredevils,170,Indian Premier League38,2014-05-13,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,38.0,34,46,Delhi Daredevils,field
Sunrisers Hyderabad,205,Kings XI Punjab,211,Indian Premier League39,2014-05-14,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kings XI Punjab,39.0,55,86,Kings XI Punjab,field
Mumbai Indians,141,Kolkata Knight Riders,142,Indian Premier League40,2014-05-14,Barabati Stadium,Kolkata Knight Riders,40.0,37,45,Kolkata Knight Riders,field
Rajasthan Royals,201,Delhi Daredevils,139,Indian Premier League41,2014-05-15,"Sardar Patel Stadium, Motera",Rajasthan Royals,41.0,52,34,Delhi Daredevils,field
Chennai Super Kings,138,Royal Challengers Bangalore,142,Indian Premier League42,2014-05-18,JSCA International Stadium Complex,Royal Challengers Bangalore,42.0,39,17,Chennai Super Kings,bat
Sunrisers Hyderabad,142,Kolkata Knight Riders,146,Indian Premier League43,2014-05-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,43.0,41,30,Sunrisers Hyderabad,bat
Mumbai Indians,178,Rajasthan Royals,153,Indian Premier League44,2014-05-19,"Sardar Patel Stadium, Motera",Mumbai Indians,44.0,42,47,Mumbai Indians,bat
Delhi Daredevils,164,Kings XI Punjab,165,Indian Premier League45,2014-05-19,Feroz Shah Kotla,Kings XI Punjab,45.0,55,66,Kings XI Punjab,field
Royal Challengers Bangalore,160,Sunrisers Hyderabad,161,Indian Premier League46,2014-05-20,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,46.0,25,51,Royal Challengers Bangalore,bat
Chennai Super Kings,154,Kolkata Knight Riders,156,Indian Premier League47,2014-05-20,"Eden Gardens, Kolkata",Kolkata Knight Riders,47.0,35,52,Kolkata Knight Riders,field
Kings XI Punjab,156,Mumbai Indians,159,Indian Premier League48,2014-05-21,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,48.0,48,62,Mumbai Indians,field
Kolkata Knight Riders,195,Royal Challengers Bangalore,165,Indian Premier League49,2014-05-22,"Eden Gardens, Kolkata",Kolkata Knight Riders,49.0,45,36,Royal Challengers Bangalore,field
Chennai Super Kings,185,Sunrisers Hyderabad,189,Indian Premier League50,2014-05-22,JSCA International Stadium Complex,Sunrisers Hyderabad,50.0,60,64,Sunrisers Hyderabad,field
Mumbai Indians,173,Delhi Daredevils,158,Indian Premier League51,2014-05-23,"Wankhede Stadium, Mumbai",Mumbai Indians,51.0,65,47,Delhi Daredevils,field
Kings XI Punjab,179,Rajasthan Royals,163,Indian Premier League52,2014-05-23,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,52.0,53,44,Rajasthan Royals,field
Royal Challengers Bangalore,154,Chennai Super Kings,160,Indian Premier League53,2014-05-24,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,53.0,34,64,Chennai Super Kings,field
Sunrisers Hyderabad,160,Kolkata Knight Riders,161,Indian Premier League54,2014-05-24,"Eden Gardens, Kolkata",Kolkata Knight Riders,54.0,49,49,Kolkata Knight Riders,field
Delhi Daredevils,115,Kings XI Punjab,119,Indian Premier League55,2014-05-25,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,55.0,44,48,Kings XI Punjab,field
